"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ce test échoue intentionnellement","0","Factorielle de 10 - vérification incorrecte","tests","2025-11-20","failed","2025-11-20","TestCalculatorAdvanced","test_calculator_advanced","",""
"","0","Addition avec zéro","tests","2025-11-20","passed","2025-11-20","TestCalculatorBasic","test_calculator","",""
"","0","Factorielle de nombres positifs","tests","2025-11-20","passed","2025-11-20","TestCalculatorAdvanced","test_calculator_advanced","",""
"","1","Opérations avec très petits nombres","tests","2025-11-20","passed","2025-11-20","TestCalculatorIntegration","test_calculator_integration","",""
"Test réussi avec plusieurs opérations","1","Plusieurs additions rapides","tests","2025-11-20","passed","2025-11-20","TestCalculatorStress","test_calculator_stress","",""
"Ce test échoue - bug dans l'assertion","0","Puissance avec base négative - assertion incorrecte","tests","2025-11-20","failed","2025-11-20","TestCalculatorAdvanced","test_calculator_advanced","",""
"","0","Test rapide (< 100ms)","tests","2025-11-20","passed","2025-11-20","TestCalculatorBasic","test_calculator","",""
"","0","Multiplication de nombres positifs","tests","2025-11-20","passed","2025-11-20","TestCalculatorBasic","test_calculator","",""
"Ce test échoue - vérification trop stricte","0","Vérification robustesse - assertion trop stricte","tests","2025-11-20","passed","2025-11-20","TestCalculatorStress","test_calculator_stress","",""
"","0","Opérations avec très grands nombres","tests","2025-11-20","passed","2025-11-20","TestCalculatorIntegration","test_calculator_integration","",""
"","0","Division par zéro - doit échouer","tests","2025-11-20","passed","2025-11-20","TestCalculatorBasic","test_calculator","",""
"Ce test peut échouer à cause de la précision des float","1","Vérification de précision décimale - ÉCHEC","tests","2025-11-20","passed","2025-11-20","TestCalculatorIntegration","test_calculator_integration","",""
"Ce test échoue - précision incorrecte","0","Racine carrée décimale - assertion incorrecte","tests","2025-11-20","passed","2025-11-20","TestCalculatorAdvanced","test_calculator_advanced","",""
"","0","Addition de deux nombres positifs","tests","2025-11-20","passed","2025-11-20","TestCalculatorBasic","test_calculator","",""
"","0","Addition nombres décimaux","tests","2025-11-20","passed","2025-11-20","TestCalculatorBasic","test_calculator","",""
"Test réussi avec valeurs limites","0","Robustesse avec valeurs limites","tests","2025-11-20","passed","2025-11-20","TestCalculatorStress","test_calculator_stress","",""
"","1","Racine carrée d'un nombre négatif - exception","tests","2025-11-20","passed","2025-11-20","TestCalculatorAdvanced","test_calculator_advanced","",""
"","0","Racine carrée de zéro","tests","2025-11-20","passed","2025-11-20","TestCalculatorAdvanced","test_calculator_advanced","",""
"","0","Puissance de nombres positifs","tests","2025-11-20","passed","2025-11-20","TestCalculatorAdvanced","test_calculator_advanced","",""
"","0","Soustraction basique","tests","2025-11-20","passed","2025-11-20","TestCalculatorBasic","test_calculator","",""
"Ce test échoue intentionnellement pour démontrer les rapports d'échec","1","Division avec vérification incorrecte - ÉCHEC","tests","2025-11-20","failed","2025-11-20","TestCalculatorBasic","test_calculator","",""
"Test qui prend du temps","800","Test de performance lent - dépasse le timeout","tests","2025-11-20","passed","2025-11-20","TestCalculatorStress","test_calculator_stress","",""
"","0","Division décimale","tests","2025-11-20","passed","2025-11-20","TestCalculatorBasic","test_calculator","",""
"Ce test échoue - logique incorrecte","0","Calcul incorrect - ÉCHEC","tests","2025-11-20","failed","2025-11-20","TestCalculatorIntegration","test_calculator_integration","",""
"Test lent simulant un calcul complexe","301","Test d'intégration lent","tests","2025-11-20","passed","2025-11-20","TestCalculatorIntegration","test_calculator_integration","",""
"","0","Puissance négative","tests","2025-11-20","passed","2025-11-20","TestCalculatorAdvanced","test_calculator_advanced","",""
"","501","Test lent simulé (> 500ms)","tests","2025-11-20","passed","2025-11-20","TestCalculatorBasic","test_calculator","",""
"","0","Racine carrée d'un nombre positif","tests","2025-11-20","passed","2025-11-20","TestCalculatorAdvanced","test_calculator_advanced","",""
"","0","Multiplication de nombres négatifs","tests","2025-11-20","passed","2025-11-20","TestCalculatorBasic","test_calculator","",""
"","0","Factorielle d'un nombre négatif - exception","tests","2025-11-20","passed","2025-11-20","TestCalculatorAdvanced","test_calculator_advanced","",""
"","0","Multiplication par zéro","tests","2025-11-20","passed","2025-11-20","TestCalculatorBasic","test_calculator","",""
"","0","Addition de nombres négatifs","tests","2025-11-20","passed","2025-11-20","TestCalculatorBasic","test_calculator","",""
"Test réussi combinant sqrt et power","1","Calcul avec racine et puissance","tests","2025-11-20","passed","2025-11-20","TestCalculatorIntegration","test_calculator_integration","",""
"Test réussi avec opérations chaînées","0","Chaîne d'opérations complexes","tests","2025-11-20","passed","2025-11-20","TestCalculatorIntegration","test_calculator_integration","",""
"Test rapide d'intégration","0","Test d'intégration rapide","tests","2025-11-20","passed","2025-11-20","TestCalculatorIntegration","test_calculator_integration","",""
"","0","Soustraction avec résultat négatif","tests","2025-11-20","passed","2025-11-20","TestCalculatorBasic","test_calculator","",""
"","0","Division normale","tests","2025-11-20","passed","2025-11-20","TestCalculatorBasic","test_calculator","",""
"","0","Puissance à la zéro","tests","2025-11-20","passed","2025-11-20","TestCalculatorAdvanced","test_calculator_advanced","",""
"Test réussi de performance","0","Performance avec factorielles","tests","2025-11-20","passed","2025-11-20","TestCalculatorStress","test_calculator_stress","",""
"","0","Factorielle de zéro","tests","2025-11-20","passed","2025-11-20","TestCalculatorAdvanced","test_calculator_advanced","",""
"Ce test échoue à la fin","0","Boucle de calculs - assertion finale incorrecte","tests","2025-11-20","failed","2025-11-20","TestCalculatorStress","test_calculator_stress","",""
